Emotion,Text
fear,"When I could not find my 2 year old daughter.  I ran and looked for her everywhere and could not find her.  (I finally found her, she had gone to bed to sleep)"
sadness,"When one day nobody could rouse him from his trailer , it was Lee Marvin who entered quietly and found a sombre , lonely , sad man . "
joy,I felt joy when I passed the worst phase in my life and discovered how many people considered me important to them.
neutral, Why not ? 
joy,When I passed the first year and so I could come back for my second year.
joy,Leave My Past In The PAST 
joy,Al final acabo cayendo en lo de ir a 
joy,off to work I go.. gotta stick a 45 minute bus journey first mind! 
joy,Time for bed I guess... work 9-6 
joy,my brain is fried.... and i haven't started my homework......  
joy,The day started well and ended even better! Now off on date night with @susandoern for #sushi
anger,"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon "
anger,"I was ridiculous mad with @Jilian_Lovex  and @BritUntitled . Seriously, don't mess with important school papers."
joy,Today is the big day ! I get to swim 3 times 50 m. 
surprise,Wordt een uitdaging. Moet met junior mooie surprise maken voor ajax-fan. #sinterklaas
joy,"So, all the teachers decided to give me more homework than they have all semester this week. "
neutral,How are you feeling
surprise,je me passe de sexe depuis un mois. je m'en passe TRES bien  
joy,I've gone scissors happy on it so at least it fits in my room but now lights won't work to the freaking world!
joy,guess im stayin for the entire class period today.... -__-
anger,The butcher becomes incensed . 
joy,The day I was told that I had been accepted as a student of economics.
joy,"I'll be working in 2 different kitchens tomorrow, in between a trip to Southmead "
surprise,"Eventjes Sinterklaas gedicht in elkaar zetten, dan rest van cadeautjes in pakken "
fear,You gain   and confidence by every experience in which you really stop to look in the face.~ E Roosevelt
fear,is a NEGATIVE faith...What you #FEAR is what you'll ATTRACT ...#TRUEstory
anger,"It was quite recently, at the football match between the national teams of Bulgaria and France. I felt strong anger with the Scottish referee who ran the match quite partially."
sadness,Not being able to distinguish a dream from reality 
surprise,"&quot; RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN"
anger,I remember that when I was in school I saw a case of partiality - one of the teachers gave private coaching classes to some girls and she would give these girls extra attention in class and would ignore the others.
anger,"I don't care if you 're offended , that 's the truth . "" "
neutral, Who ? 
sadness,"odeio ouvir um disco legal,procurar um lugar pra baixa-lo e não encontrar!!!! =S ( )"
joy,Just bought a treat for some friends @flyncupcake and when I delivered found out they just became a sponsor. #ilovemyjob
fear, I can smell smoke ! 
surprise,Just to follow the crowd...@JakobOlsen2 I have had a crush on you since sophomore year LA HAPPY BIRTHDAY!!!
fear,Dome squad 2012. Rude. Ronchy. Ruthless. 
joy,spca tomorrow for community service.. 
neutral, Thank you . I suppose I should go to see a doctor . 
fear,l will sleep back nah. Good darky cold nite. 
fear,Off to the cinema to see Dream House 
neutral, Why not ? 
sadness,"When I understood that my marriage was falling apart, and we decided to be legally separated."
neutral, Thanks ! 
fear,Damaged the tap in the residental Hall.
sadness,@grespo era meglio quella dove c'ero io. 
joy,Have to read a book an write a paper on it in 8 days. 
surprise,He saw her glance up in puzzlement and ask why he was still fully dressed . 
anger,What a terrible house ! 
joy,Lunch with the old folks at the club then heading back up to tampa 
joy,THE LOCKOUT IS OVER! roll on the 66 game season!   
joy,People there is a greater than anything in the world and that is to know that #God loves you more that the grains of sand in the world
surprise,"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN"
anger,"I live by myself and a few weeks ago was woke by a man on the end of my bed coming up my bed at me. I was really angry, told him to get out. He was surprised, hesitated; I started to move towards him and he backed off - kept telling him - loudly, but firmly to go. Because I'd got the initiative, I succeeded. A very powerful message."
joy,When I drove partially across the country with my father. We stopped in a few towns and stayed overnight in motels. The joy I got was from the feedom I felt and the real beauty of the country.
surprise,Busy day. Wish it was 5pm. time for everyone. Hahahaha
joy,Blank.
fear,My personal definition of ambivalence: finally having a date for experimental surgery...  
sadness, My manager jumped on me for my mistake today . 
fear,"Of course nobody wants to see Kobe and Paul together! but they allowed Lebron, wade and bosh to be together WTF"
sadness,Ugh @steelers game isn't showing on ANY of my channels. 
anger," They were supposed to , but so far nobody ’ s turned up , and I ’ m left on my own to do the work . This is the first break I ’ Ve had all day . "
sadness,@NNNADROJ I am going back to  for a few days...to bad ill miss you 
joy,Omg the loveseat in the living room is cleaned off. I can't remember the last time i sat on it! 
neutral,"Hi , Kate . "
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
joy,About to soak in the tub and get into bed! School in the AM! .. Night tweeties! :)
joy,"In a Sondheim mood today.. Of course. The one Monday I had to cancel my lesson (Where we work on Sondheim), I have pneumonia! "
neutral, That's true . And sometimes the tickets are cheaper during the week as well . 
sadness,I feel like a total selfish bitch :( 
anger,This situation keeps occurring - when my little sister disagrees with me or vice-versa. We have very similar temperaments and I always end up feeling angry at her and myself for fighting so much over unimportant trivial matters.
sadness,"@_captainmorg yeah, but I have a strange feeling it's sarcasm cause I tweeted a few days ago I wanted to be one hahaha "
sadness,Final CSA cult meeting 
surprise,"Surprise opoo :D RT @Wheldhut: Dapet bonus tuh RT @wonqbe: Pulsa 20 ribu aja pun, heboh x kw, ( ˘͡ -˘͡)"
joy,Gotta do it all tomorrow thou. My Friday night will consist of ; writing a paper and a load of algebra. 
joy,When people call you a freak for giving your best friend a running hug&gt;&gt;&gt;&gt;&gt; 
anger,She sounded very disappointed and David knew she was suppressing her exasperation . 
fear,"For all those years you've protected the seed, it's time to become the beautiful flower.~S.C. Paul   "
joy, I'm sorry . What's your name again ? 
anger,When @AlexaaDee's phone dies right in the middle of a breakdown ... 
joy,after 14 hours of shopping i have to deal with vomiting animals 
joy,"I was biking with my boyfriend, the sun shining after a long period of bad weather, afterwards we spent the evening and night together."
sadness,My bunny ears of my cell phone cover are falling off 
joy,guess i should start reading this 1000+ page book cause I'm only in the 300's and its gotta get ready by Wednesday. 
surprise,Never said I was perfect but I will keep it real wit cha! SURPRISE
joy,"  hoping for a better day, wait I have conditioning #dreamstream"
joy,Love when it's raining and I have to walk to class 
fear,LOVE LOVE LOVE Da Onli Thing I Truly 
fear,Bishop Gray was very quick to speak out and express his ` dismay and extreme disappointment at the announcement of closure . 
joy,Gonna be a nerd and do homework kill christian gets here at like 1 
fear,"Scared as hell to get those feelings, so maybe i should stop this b4 it begins "
fear,"2)March 2009,the market said : the opportunity was there,but COURAGE was missing. The factor was too strong"
fear,@rachh1xo @gracielee96 if I be  I'll cry I don't wanna die alone ..... 
anger,"I was living in a flat where things did not go very well for me.  Finally, they threw me out and this prejudiced people I esteem a lot."
joy,Break! Think of someone you'd like to apologize to. See them smiling. Feel their hug as they tell you it's OK. #LJB
fear,&quot; turned into hatred &amp; violence in the human #Heart &quot;  ~ Stephenie Mayer
surprise,arjtoítameypg nose si hoy me vas a ir a buscar o no. 
joy,The dude opposite me has more feminine finger(s)/nails than I do #manhands #ihaveem
sadness,Hate how weak my nails are!!!! Had to cut them all each one of them were breaking :( #manicureNEEDED
sadness,Bye Alec! I'll miss you so much. Have fun in Belize. 
neutral, What ? 
anger,When I damaged my wristwatch which I liked very much.
joy,When the whole family gets together for a one week holiday.  Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.
joy,"Took my LAST quiz ever for government. I have always hated those. Now I just have an essay, 2 projects, homework, a test &amp; finals "
joy,6 hours of field hockey this weekend. 
surprise,@wiscy_neat it's not rape if you yell surprise first 
anger,PREECHITRT @hartramsey: Righteous never BLOWS UP or CLAMS UP. It surveys the situation &amp; obeys GOD in spite of satanic aggravation.
surprise,Horrendous traffic leaving preston 
sadness,Movie on black civil rights?  # kanye lol
anger,"The comrade staying next doors insulted me for what he called  the misuse of his iron.  He called me stupid, self centered etc.  I wanted to punch him but instead went for a walk to the mining school to cool off."
sadness, I doubt if I can pass it . 
sadness,Seatbelts. Keep you safe in an accident. cause terrible pain next day. 
neutral, He is too scared to ask her . 
joy,"Looking anything but delighted at the prospect , he stood up . "
anger," Oh right ... present company excluded , of course ! "
sadness,Many parents experience deep pain and despair about their teenage children . 
joy,Christmas Break= all the bitches and jerks I hated in high school coming home for an entire month. 
joy,Landlords were not pleased to find that their apartment blocks had overnight become the property of the tenants . 
joy,My boyfriend was playing with my cat. He was playing games with her and telling nice things to her. 
joy,- Excuse Me Can I See Your Dang A Lang Brother....I Mean You Know Just Juggle Your Balls Like The Wrangling Brothers. ^_^ # 
joy,You See The Outfit Bitch I'm Killing You Hoes 
joy,Train rides would be more enjoyable if my ears didn't bleed the entire trip... 
joy,Dance practice for 4 hours.. 
surprise,yeah i think u deserve a reward for that.....
sadness," no , that would be crazy . But then who will it be ? Oh dear , it must be me . I should have known it ! Why else would he have talked to me alone about the downsizing . What should I do ? I've got a family t "
fear,"When we were going to Nkhoma last Saturday the vehicle was moving very fast, so I feared we might crash since the road was too rough."
joy,Reunion with my wife after a legal separation.
fear,"I was walking alone in the street late at night (2.30 am). It was very quiet. Then a man approached me and said \Hello\""."""
neutral, OK . 
fear,@missrit10 Chaii RITA d devil is a lair o!GOD lol
surprise,"When Ramsey came to read the book himself , later in life , he was astonished , and at one point burst out laughing , to discover what irrational expressions he could use . "
sadness,Her tone was sad . 
joy,i cant help but 2 think abt ppl who are alone 2day or without food 2 eat! I pray God brings them &amp; Provides all they need!!!
surprise,@LYONS_head when Matilda shoots the carrot into her brothers mouth 
surprise,Harry potter weekend surprise
sadness,"My father suddenly fell ill. He stayed for 3 months in the hospital: the last month on intensive care of the Academic Hospital, then he died."
neutral,Hello ? 
sadness,Today's soundtrack goes along with the rain. 
sadness,@jennymagnotta you're such a business school success.   
joy,"@TheBodyShopUK Your Aloe Vera Lip care is just amazing! It's an utter at any time,but especially in the #Winter!"
joy,can not wait to be done with high school... only a year and a half to go... 
sadness,It's sad u know when two people break up when both their profile pics change 
anger,"you end things with me because you say you're not ready for a relationship, 3 weeks later you're dating someone?  "
joy,Nothing not even a windy day can mess with how am feeling wohoo 
joy,"He considered this thoughtfully , then a gleam of amusement came into his eyes . "
sadness,"One of these days, we'll tire of taking digs at  InsaneSibal and others. But they won't ever tire of stupidity. #fb"
fear,"&quot;A leader is a coach, not a judge.&quot;  #lean #systemsthinking #development #HR"
shame,"Obviously he was not going to speak and Jenna was embarrassed at being caught here , more embarrassed still at the idea of walking haughtily to her room without a word . "
neutral, See you . 
surprise,"Shocking!! RT @JPPrice It's after midnight, so I'm allowed to inform you that Gunner Kiel is the 2011 Indiana Mr. Football. "
fear,"When I was a kid, I always opened the door to greet my father when he came back from work.  One day it so happened that his hair was scattered due to over-crowding in the train, and when I opened the door as usual I saw something else.  I was so scared that I could not talk."
neutral, What ? 
joy,Just remembered the bar of chocolate I bought in WHSmiths earlier 
anger,When I met my new girlfriend with another man in the street.
fear,In the aftermath of the war the government was said to be concerned over Turkey 's increasingly prominent international role . 
surprise,Wondering what is waiting for me tomorrow... #ExcitedlyFrustrated LOLXD
joy,back in the land where uggs are considered appropriate footwear and foster the people are still &quot;indie&quot; 
sadness,"mac about to die...need to charge, but do not want to leave "
sadness,I lost my tanning goggles:( 
fear,"A côté de chez moi il y a une offre pour des &quot;cours de français pour femme&quot;… Soit elles ne parlent pas la même langue, soit… "
sadness,When the mother of a good friend of mine died.
joy,"Eggs, pancakes, n bacon with @Chrissyynguyen :) now watching august rush next to our gorgeous Christmas tree "
joy,"English vocabulary about state, right and politics "
fear,I didnt like how I did personally but it was my 1st try after a couple more I'll know how to be funny and rap in front of a camera. 
surprise,Gonna flip everyone's world upside down.  Can't wait  
joy,"@TheBodyShopUK lots of things bring me like my bed but I have to say Christmas,  I love it especially when I'm with family! Xmas= #JOY"
fear,"@goldenblades91 @BerticusMaximus it is exciting. except, yerno, I haven't finished my essay or my translation. "
joy,My mother along with some of my friends gave me a surprise birthday party - they invited a large number of my friends along too.
sadness,"It seems as i gain a follower, i lose one. Stuck at 123. "
anger,"Dear tv channels, if ur playing a sporting event instead of ur regular programming, put that that's Wats airing on the guide! "
disgust,Popping my  cherry + sitting outside Best Buy. It smells like straight up PISS. 
joy,A 5 hour shift turned into a 8 hour shift. 
surprise,just found ten dollars in jeans i haven't worn since 8th grade 
fear,Had alarm set for 6 for some reason but I am up and buzzing. More thinking Krul will have a busy day today  
anger,When I failed an exam I thought I would pass.
anger,They had returned much less of my taxes than I had expected. 
fear,This place is nothing but a breeding ground for hate. #sadness #Confusion #Alienation #Judgement
fear,vu qu'on y retourne plus par la suite. 
joy,"Tonight, I'll announce the lucky  winner of the Cookie Cookbook! :) xoxo In the meantime, enjoy this fantastic day! "
neutral, Yes . 
sadness,gosh DAMNIT..just got of work -___- &amp; i gotta DICK full of homework &amp; a SACK full of 
anger,Hywel was glaring mad at having to put a suit on . 
joy,"Looking forward to next term's Create sessions @theeggbath. Sensory, sequencing, movement, makaton, music &amp; Shakespeare  "
anger,One career wife spoke about her exasperation when her husband listened to her with half an ear as he watched television . 
joy,Bye bye man u Hahahahaha 
surprise,My dad is hopefully buying me an iPhone today for x-mas. 
sadness," @Wreaking_Havoc_ @Autumnbaby_NYC @jayweezy98 missed school today didn't get missed band class and choir :,("
joy,i hate thinkin bout the work i have to do b4 ii go to bed...im gonna have nightmares 
anger,"&quot;In your do not #sin: do not let the sun go down while you are still angry, and DO NOT GIVE THE #DEVIL A FOOTHOLD.&quot; Ephesians 4:26"
neutral, OK . 
anger,Excuse me ! I don't have time to waste . I've been here almost one full hour ! 
sadness,@Ephixa YouTube claims your new Dragon Roost Island video ft. Veela is a private video. Yet it was emailed. :( 
fear,"✓RT @RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less"
surprise,My family from NC just unexpectedly arrived at my house.. 
sadness,@clurrjizzm I'm dissappointed. We agreed at the river that waz gojng to be dedicated to me 
anger,My girlfriend disliked it when I played majong (a game of gambling).  I expressed my regrets and when I went to see her she neglected my existance.  I was very angry and left in displeasure.
joy,I love being on Christmas break! :)   &amp; subbing tomorrow! 
fear,"Maybe I'm naturally hysterically happy, but have spent years being a bit moany and angry due to the hormones. "
surprise,"@itzJoJoVee ur welcme,ano gagawin mo s bday mo?!nabangan ko bday mo,kc lilipad ako jan,haha, "
disgust,Eww. I hate hearing people eat. Sitting in a room with three people eating plus two dogs = 
sadness,Amanda 's grief for her father was compounded by anxiety over his ontological status . 
joy,I had the bomb ass dinner tonight . 
fear,"&quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;"
anger,Don’t ever touch an angry person without their permission.       
anger,They must be mad that they should expect such a delicate business as his preparation of Vologsky to be speeded up as though it was a crude operation on a factory bench . 
fear,@Bobert_Haughton @dunningmark sound Bob! Sounds tough 
joy,"&quot;Till He appeared and the soul felt its worth.& thrill of hope, the weary soul rejoices&quot;  #itsonlythe10th @NPoleAthBranch"
fear,"Our , most of our rules and most of our laws are made by people who are frightened of losing their property , and not the sort of people who are frightened of being mugged at night . "
joy,Class at 2....  and then again at 5:30. Then I need to come home and write an essay that's due tomorrow. #bitchtweet
anger,“@YMBS_MULA ok i still cant find my car max building up”
joy,"Captain McArthur was a musical comedy aficionado , and not pleased when Mrs Kingswood spoke critically of the form . "
fear,"If we deny  that is given to us,if we refuse to give love because we #pain or loss,then our lives will be empty,our loss greater."
sadness,Feeling left out at guelph party 
joy, Thank you . 
fear,@daShortFry is a bad ass...watch out tweeter world... has come of age #bringthepain
joy,Vanavond halve finale  en vanaf 6 december is het weer  time! 
fear,She was still feeling a little anxious when she thought of all she would have to do before she could get to bed that night . 
joy,Laying in bed. Window open. Cool breeze. Listening to the book of Numbers. 
anger,I need to sign a Non-Aggression Pact with myself 
sadness,How does it make someone like a woman who has just had an abortion feel having to go to a lavatory to express her grief in tears ? 
sadness,could HAVE!! RT @MonsterKatie Oh I just got home and find out that I could of gone to the surprise at 3:30 :| 
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
anger,When a pick-pocket robbed me of my money (K20) while I  was buying bathing soap.
joy,Part 1 Black Friday shopping accomplished....Part 2 starting at 4...
joy, Thanks for reminding me . She's the right person to help me . 
fear,"&quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;"
fear,"This ` return to the sources "" discovers either that such primitive celebrations are entirely divorced from modern sexuality , or that they always concealed a deathly horror . "
sadness,"` Was it sad because its mummy was nasty to it ? "" he said . "
fear,When I had my first oral examination after a long time; especially one day before the examination when I had the feeling that I had not studied enough and had not enough time to make up for it.
fear,La lampada sopra la mia testa ha scricchiolato 
anger,The only thing that keeps me going at work is imagining making a huge scene and walking the hell out management
neutral, Oh . 
disgust,The guy next to me on this flight must be wearing egg mcmuffin scented cologne. 
surprise,"Mrs Carole at Baptist Physical Therapy, you're too nice. Thanks for the Chick Fil A!   "
neutral, I guess so . 
joy,"I feel joy usually after each taken exam, the last one was in February."
neutral, Yeah . 
surprise,I got the Dec @voguemagazine issue when I thought I wouldn't bc I forgot to reorder &amp;almost bought it td! Woohooo  
surprise,Adam van Kouverden at Sinclair! Ohh and I'm doing sound? #freeday
joy,"My friend replying to my letter and again saying he was attracted to me and suggesting we write, talk and get together and see how things went and his suggestion that I could ring and doing that it was really good - though really insane conversation."
fear,"He who knew no sin, sent himself for the glory. But like a lamb, he was led to the slaughter..and he died.. For us..and hes comin back "
surprise,Love getting home to my little cousins sleeping over! 
joy,` Your mother and I are so pleased you are so happy . 
joy,The animal seemed to take a perverse delight in terrorizing him . 
neutral, Speaking . 
neutral, Around 3pm . 
sadness,"It is necessary for me to watch Elf, right now. too bad it got deleted off DVR. "
sadness, I saw her dating with her ex-boyfriend again . 
disgust,"No, you blowing your cigarette smoke in my face is not sexy.  "
sadness,"I hate every time peanut takes a nap, i can't /; "
joy,Neither he nor Peter can conceal excitement at being back in the limelight again . 
anger, MY Closest Friend Fucked me over 4 my Ex &amp; believed her lies. I will Never forgive nor forget such Treachery for  
joy,Listening to @cartalk on my  during the journey home...on a Thurs. 
anger,'Do not hasten to resort to lest it prevail over you by becoming a #habit.’ #ImamAli
joy,"don't go for the most beautiful girl in the world, go after the girl who makes your world the most beautiful "
fear,Does not matter how many times i shower i cant wash off the gads.
joy,"To his absolute delight the first trap had held what must have been a seven pound salmon , plus a couple of mullet which he had ignored . "
sadness,still feeling a lil down..its crazy how you are not here any more and all im left is memories
sadness,When I am with a friend and we have to leave each other.
fear,Falling off a cliff in the mountains.
sadness,Derby County 's grief at the foot of the first division continues as they went down two one at Crystal Palace . 
joy,The morning bother photographers w/ many emails is over... now to begin the eating and taking the bus to work w/ screaming children!! 
sadness,@LETGOdwork that awkward moment when a gorilla shows up at your party and shaves everyones moustaches and claims them as his own 
surprise,"Ms. Linda dont know im coming either. ... even though we hate surprises, i love her"
anger,I couldnt play a physical sport or i would get into too many fights. 
disgust,We were feeling rather disgruntled at how many good films we 'd obviously missed when a man came on to the stage to read the nominations for one of the categories . 
joy,"LT , im talking bout black ass . "
anger,When the dean of university asked me to vacate a big flat I was occupying and take up a smaller one as I was becoming a full time student at university.
neutral, Certainly . 
surprise,"gedoucht, nu klaarmaken eten en naar school met de auto!! "
surprise,Taking a detour on my trip to go see my brother :))  
joy,Easy to get caught in the holiday rush-be aware in the moment-build silver-white pillar as Self just be present to radiate #Mindfulness
anger," yes . Last Sunday I went to a nearby market . It was on open-air fair . I chanced upon this bag and bought it on the spot , without even trying to strike a bargain . I paid one hundred and twenty . And just now I was told by my Chinese colleagues I bought it overpriced . I could have talked my way to thirty . "
joy," Autumn is the best season in Beijing , you know . "
joy, So am I going to see you at the party ? 
disgust,I don't understand what goes through these people heads when they decide to touch children and take their innocence away.. Straight 
joy,Great now I have to get my wisdom teeth pulled....
joy,A meeting and a conversation with a woman (somewhat elder than me) who considers me as her child (she also has one child of her own). Last two years I lived with her (no relationship).
anger,I have a complaint to make . I've just been badly treated by a rude maid . 
surprise,Sometimes pictures aren't the mirror of reality ! 
surprise,"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN"
sadness,Last madrigal of my life. If you miss it you're a square. 
sadness,Being stuck because your crying so much you can't see to drive is not fun 
joy,time to start this research paper 
fear,Visto hoy : C.F. dándolo todo muyyy drum'n'bass ella jajajaja O.o 
joy,its too early for me to be awake. now to start my three hour drive to lbk 
fear,stop playing basketball and become fat
joy,"They seemed happy about my victory in Germany and most of them expected me to win more races last year . "" "
anger,A man treated his dog very badly - he insulted and beated him until the dog kept lying on the floor with his tail drawn in.
sadness,"when @ScottyMcCreery won AI, I was in his hometown of Garner. Then he had a party in Southern Pines, where I was! Never saw him. "
sadness,I feel like  walking down a never ending spiral staircase  #pain
fear,ain't america grand let's all be thankful for what we have cause it's shiny and they told us we'll like it on TEEVEE 
anger,Jealous of my husband's old girlfriend.  We met her with her husband and there was a lot of reminiscing.
sadness,@dmanic21 when the only person i hit up on twitter is my best friends boyfriend #ourfriendshipisarelationship
joy,"Indeed , the two M boys themselves were not totally happy at first at having these initially undisciplined children visiting their home and generally being around on a regular basis . "
fear,Today I start a health and safety course. Hopefully by the end of it I won't be a boring person. 
joy,@GemmaSapp WHERE?! So jealous. I'm writing my dissertation all day tomorrow. #Festive #BahHumbug #AhBumhug
joy,"After 5 beautiful days off, I'm now going back to work. "
joy, deeply ~ connect with your soul &amp; yr true essence - your       #passion
sadness,[OOC:] Afraid I might have to get  in a bit. My RP account seems to be acting up. 
surprise,come home &amp; my mom is acting really weird. go downstairs and the christmas tree is up. 
fear,@HayleyDocherty @jamieeblack I know your joking cos it's all  in the family. Thought of drink gives me 
joy,I come home and my little sister is having a slumber party at my house...
sadness,I feel like a baby face without my nappy beard 
neutral, Ok . Bye . 
fear,@pathien selon doctissimo le verdict est sans appel: cancer du cerveau !! 
sadness,@erin_florence : i grew some balls today. did the unexpected. i failed at the challenge. my balls have shriveled. 
sadness, I ’ m sorry that you didn ’ t get in . 
sadness,@Emilio_Chacon but your missing game night it won't be the same without you :( 
sadness,The musical is over. No more skid row or running through the audience with flashlights. 
joy,Now to Leek to present then back to MCR to redo a week's worth of work in two days. 
surprise,I left my room for 5 mins and came back to see you IM me...
surprise,I was actually on time to school today 
joy,Nothing like a morning argument for breakfast #Asshole #smh
surprise,"@_KaitlynSnyder we'll skip out on the whole telling alec part, then when he walks down the hall and see you we can yell "
sadness,"that OUCH moment when u found out, he already have someone special."
joy, at  JAKARTA &quot;MAGICAL ELECTRO&quot; DJ's: @dhanesocces #CHRISTWIST #KHALID &amp; MAGICIAN MASTER DANIEL GL: #DANES @dhanesocces
joy,When I passed the driving test three weeks ago and got my licence.
neutral," I live downtown , with my parents . "
anger,"It was after noon by the time we actually got sorted , much to the annoyance of the lady from the Public Relations company who had hired us . "
surprise,I've started watching  I now think being a moral con artist could be a viable backup career. Secret is: people are greedy. 
joy, Isn't it just great ! I just knew I'd win ! 
sadness,When I was not selected to go to the University of Malawi I felt very sad.
joy,No more homework? Time for FRINGE! #timetorelax
surprise,@emma__01 haha okee..je weet yoch wel al die toetsen doe ik erop moest maken die zitten er allemaal op 
joy,Amid intense media excitement and stringent security Mandela was given a tumultuous ticker-tape welcome in New York where he received the freedom of the city . 
sadness,@shaymitch Wow orange is just not you girls color Could be worse those #Stripes lol
joy,Going to get a salad and do homework for the rest of my life 
joy,"Death to the ego, Rise of planetary collectiveness!  Peace starts from within! "
fear,create a new  a fair chance for everybody ! beyond and # jealousy #mindfulatlife
anger,My sister had promised to help me to do a translation from English into German. But the day I needed her she told me that she was busy - I was very angry.
shame,I felt embarrassed at the prospect of meeting him . 
anger,Lucy sent him a resentful glance while adding an explanation for her presence . 
anger,The Government resolutely refused to comment until in January 1978 we suddenly heard that an exasperated Lord Rosebery had broken off the sale and given Sotheby 's the go-ahead to auction the contents in May . 
surprise,Treasure trove of exciting old shoes in my wardrobe this morning :3 one pair is even summer suitable.   
disgust,"Okay BigBangTheory, you had a chance, but you just had to go and quote the Green Lantern oath incorrectly. Blackest, not darkest. "
fear,When my mother had a nervous illness.
surprise,My dad didn't call to see if I wanted to spend Thanksgiving with him. 
fear,@Bryant1209 @PamieHENDRIX man James please kill yourself before i do. as you can see they're afraid to give kobe CP3 #blackmamba
joy,"Dear @bspencealot, I hope your birthday was filled with  &amp; on this fine day #justkidding #noimnot I love you! Happy birthday!"
anger,LT from the skins game yesterday
neutral, sounds like he is pretty cute . What do you think of him ? 
sadness,Justin's letters just make me upset 
surprise,Je lui ai préparé son sac pour le voyage en train. Des sudoku (sa passion) et un crayon de papier mal taillé pour le fun. 
anger,"Strangely , she felt more resentful of this lady 's peremptory commands than she ever had of those of the merchants ' wives she had previously been obliged to swallow . "
anger,"A few monthe ago, when my brother's wife told me that I had bad manners.  To make matters worse she did not let me use their telephone as she only allowed people of her own tribe."
sadness,Death in the close family.
joy," I recommend you ride a bike instead of commuting by bus . It may offer you many benefits . First , it's good for your health . I'm afraid it's not necessary for me to further elaborate . While lots of people spend time like an hour each morning exercising , a bike ride to work not only builds you up , but also makes full use of time . You might as well sleep out for a longer hour . "
joy,"Break! 1,000 Angels are cheering for you, blessing you. You are fully supported. Feel &amp; enjoy it. #LJB"
joy,"Several days after my final examination at school, I was sitting in an airplane on my way to Greece. I enjoyed that moment very much."
neutral," Yes , I do . "
surprise,"scuffles in the garden - a rat ran, balancing, along the side fence this afternoon, a blackbird flew out of the middle of a hedge "
fear,"When I was at home alone, I felt a super-natural force, dangerous for me and the people close to me."
surprise,"feeling queasy, might run across the road and spew on my sister   "
fear,"When I heard that there had been some women raped at uni, just near where I usually park my car and walk by myself at night. Although I wasn't in danger it unnerved me for days and I was fearful whenever walking through the area."
joy,I can't believe there's only 13 days left until Christmas. Let the time crunching begin.  #Presents #Lastminuteshopping =)
joy,"and my parents are leaving again, another week of chaos "
fear,"These voices they tell me go, Why should i ever go, Mann im so comfortable here, Why should i head to a place where people live in "
joy,We have a new driver in our family.  My insurance rates are going to go up and I need to find a used car I don't mind him wrecking... 
surprise,"Wow, my brother's actually pretty much on time tonight "
fear,"And the of the #LORD fell on all the kingdoms of the lands that were around #Judah, so that they did not make war against Jehoshaphat."
joy,Now time to write a 2 page ap world paper on something I have no idea about. 
sadness,When I felt alone and without love.
anger,this bloody computer ! 
joy,Loaned my book to @kyleerandall for the night.. Means I'm reading 100 pages tomorrow. #ohwell
joy," Great ! Wait here ? You don ’ t have enough room for the amplifiers , microphones or even your drums ! By the way where do you keep them or practice ? "
fear,"I was spending my summer holidays in a village.  My friend and I were coming back from a discotheque at night and we heard a noise from an alley.  We were very scared and we got into my friend's house.  A moment later, an unknown car picked up a person from this alley."
fear,I was alone in a cottage I often stay in.  I was woken up by a rustling sound in the middle of the night.
anger,Finished the 1st stanza of my 1st guitar song. Getting my and #classcounciness out there. Probably still going to be shit mind...
anger,"I don't wanna nag about everything and all of everything , I don't usually but this time I really need too :(   "
anger,When my friend (girl) promised to help me go to the hospital and be examined by good experts and she deceived me.
sadness,"Francis was not totally disconsolate and added : ` The way our fans came behind us is the best I 've ever heard it here , and I hope it continues . "
sadness,I am not downhearted . 
shame,"He felt guilty as he thought of Maeve 's sweet face , and embarrassed that he should be so powerfully attracted to a woman dedicated to God . "
disgust,I can't take @carlybianchini disgusting conversation every morning I honestly wanna throw up 
joy," Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . "
fear,Kendall-Hume turned back to face the dismayed couple . 
joy, It's a new concert hall and the acoustics are great . 
surprise,@KateyField @KateyField @MarkWright_ i thought mark was a clear winner . 
disgust,lol thats rude RT @KRISTINDI0R: still can't believe this guy i used to talk to is gonna have a baby. 
sadness,is it wrong to one minute feel an  and the next be dancing around the kitchen to #davidkitt #smallmoments
disgust, but I absolutely just hated the smell of the bathroom that I was just in it smelled like tangy coochies! 
anger,@JonLouis54180 @TANGELL0 I'm so getting in live stream chat when I get home! 
fear,Everyones left the room whilst mum does the christmas tree 
neutral," Last year he helped me out of trouble , too . "
